epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
128,17294,0.64945,0.36934,0.99036,0.94258,0.95063,0.96701,0.80501,0.7435,0.36721,1.09792,0.0074854,0.0074854,0.0074854
129,17405.4,0.65689,0.37904,0.99131,0.93825,0.95696,0.96787,0.80674,0.74429,0.36113,1.0974,0.0074656,0.0074656,0.0074656
130,17516.2,0.64734,0.37109,0.98802,0.96333,0.93072,0.96824,0.80844,0.74515,0.35936,1.09541,0.0074458,0.0074458,0.0074458
131,17625.5,0.6452,0.37239,0.98345,0.95699,0.93782,0.96798,0.80465,0.74429,0.35947,1.10054,0.007426,0.007426,0.007426
132,17733.9,0.65893,0.37216,0.99402,0.9516,0.94699,0.96891,0.80719,0.7448,0.35336,1.10217,0.0074062,0.0074062,0.0074062
133,17846.9,0.64078,0.36737,0.98543,0.95296,0.94735,0.96913,0.80791,0.74536,0.35397,1.09911,0.0073864,0.0073864,0.0073864
134,17958.4,0.65868,0.3792,0.99547,0.93927,0.94789,0.96704,0.80902,0.73747,0.35675,1.09085,0.0073666,0.0073666,0.0073666
135,18067.1,0.63925,0.37423,0.98178,0.94016,0.9522,0.96634,0.80724,0.74008,0.36324,1.09282,0.0073468,0.0073468,0.0073468
136,18179.5,0.64225,0.37255,0.98726,0.94549,0.9486,0.96775,0.81045,0.73896,0.3622,1.09318,0.007327,0.007327,0.007327
137,18293.3,0.64895,0.37221,0.98763,0.94499,0.94852,0.9677,0.80846,0.74497,0.35643,1.10014,0.0073072,0.0073072,0.0073072
138,18400,0.64963,0.36787,0.98644,0.9463,0.94822,0.96792,0.80984,0.7459,0.35637,1.1023,0.0072874,0.0072874,0.0072874
139,18509.5,0.64312,0.36757,0.98637,0.95434,0.94447,0.97035,0.80948,0.74407,0.35557,1.10376,0.0072676,0.0072676,0.0072676
140,18621,0.64679,0.36248,0.99074,0.95017,0.95087,0.96948,0.81138,0.75105,0.35103,1.11312,0.0072478,0.0072478,0.0072478
141,18734.9,0.64073,0.3642,0.98958,0.95016,0.95096,0.97047,0.81447,0.74745,0.35735,1.10732,0.007228,0.007228,0.007228
142,18844.7,0.64869,0.36532,0.99346,0.95275,0.95065,0.97075,0.81243,0.7504,0.35452,1.10828,0.0072082,0.0072082,0.0072082
143,18957.7,0.64413,0.37157,0.98593,0.94804,0.94909,0.96783,0.81243,0.74897,0.35341,1.10781,0.0071884,0.0071884,0.0071884
144,19067,0.64576,0.36584,0.98783,0.94497,0.95073,0.96861,0.8114,0.74743,0.35429,1.10618,0.0071686,0.0071686,0.0071686
145,19176.7,0.64217,0.36837,0.98698,0.95412,0.9418,0.97016,0.81219,0.74673,0.35954,1.1103,0.0071488,0.0071488,0.0071488
146,19286.6,0.6457,0.36962,0.98756,0.95628,0.94082,0.96933,0.81071,0.75189,0.35676,1.11562,0.007129,0.007129,0.007129
147,19397.4,0.64476,0.36897,0.98496,0.95855,0.94162,0.96983,0.80712,0.75499,0.35774,1.11771,0.0071092,0.0071092,0.0071092
148,19509.1,0.63585,0.36269,0.98412,0.95276,0.94697,0.97022,0.8075,0.75768,0.35124,1.11838,0.0070894,0.0070894,0.0070894
149,19620.2,0.64457,0.36729,0.98533,0.95349,0.94646,0.97042,0.80788,0.75637,0.35009,1.11566,0.0070696,0.0070696,0.0070696
150,19725,0.63122,0.35909,0.98123,0.9528,0.94801,0.969,0.80977,0.75715,0.35007,1.12029,0.0070498,0.0070498,0.0070498
151,19833.6,0.63553,0.36586,0.98218,0.94533,0.95505,0.96746,0.80763,0.7528,0.35006,1.11804,0.00703,0.00703,0.00703
152,19943.8,0.63277,0.36962,0.98599,0.94451,0.95431,0.96637,0.80619,0.75536,0.35356,1.12125,0.0070102,0.0070102,0.0070102
153,20055.3,0.63258,0.36651,0.98547,0.94145,0.95252,0.96573,0.80602,0.75192,0.35478,1.11853,0.0069904,0.0069904,0.0069904
154,20169.9,0.6311,0.35889,0.98185,0.94581,0.95128,0.96716,0.80647,0.75517,0.35932,1.12128,0.0069706,0.0069706,0.0069706
155,20280.2,0.63507,0.3626,0.97856,0.95046,0.95128,0.96794,0.8089,0.7543,0.35624,1.12052,0.0069508,0.0069508,0.0069508
156,20393.5,0.6243,0.35695,0.97777,0.94539,0.94965,0.96726,0.80578,0.75716,0.35544,1.12116,0.006931,0.006931,0.006931
157,20500.8,0.63084,0.36257,0.98553,0.94497,0.94967,0.96751,0.80684,0.75413,0.35663,1.11726,0.0069112,0.0069112,0.0069112
158,20602.4,0.63738,0.36328,0.98279,0.94587,0.94797,0.9668,0.80735,0.75658,0.35782,1.1213,0.0068914,0.0068914,0.0068914
159,20685.4,0.62371,0.35996,0.97631,0.94589,0.94827,0.96606,0.80669,0.75606,0.35662,1.1212,0.0068716,0.0068716,0.0068716
160,20770.2,0.63385,0.36698,0.98211,0.94714,0.95279,0.96767,0.80963,0.75295,0.35416,1.11797,0.0068518,0.0068518,0.0068518
161,20881.7,0.63008,0.35803,0.98385,0.94975,0.94948,0.96929,0.80997,0.75194,0.35527,1.11701,0.006832,0.006832,0.006832
162,20992.4,0.61146,0.34983,0.96784,0.94687,0.95042,0.96849,0.80704,0.75246,0.35495,1.11862,0.0068122,0.0068122,0.0068122
163,21102.6,0.62956,0.35538,0.97806,0.94125,0.95434,0.9691,0.81073,0.75235,0.35411,1.11731,0.0067924,0.0067924,0.0067924
164,21215.1,0.62517,0.35535,0.98285,0.94472,0.95101,0.9694,0.81156,0.75336,0.3567,1.11659,0.0067726,0.0067726,0.0067726
165,21324.3,0.63454,0.3573,0.98694,0.94154,0.95279,0.96913,0.8119,0.75333,0.35703,1.11665,0.0067528,0.0067528,0.0067528
166,21436.3,0.62394,0.35495,0.98238,0.94333,0.95041,0.96898,0.80941,0.75344,0.35739,1.11632,0.006733,0.006733,0.006733
167,21545.8,0.61777,0.34673,0.97541,0.93595,0.94975,0.96785,0.81141,0.75421,0.35387,1.11653,0.0067132,0.0067132,0.0067132
168,21656.8,0.62308,0.36007,0.97756,0.94065,0.94797,0.96881,0.81177,0.75444,0.35554,1.1154,0.0066934,0.0066934,0.0066934
169,21760.2,0.6181,0.35367,0.97502,0.94656,0.94484,0.97103,0.81104,0.7553,0.35625,1.11616,0.0066736,0.0066736,0.0066736
170,21870,0.61463,0.3495,0.97655,0.94566,0.94462,0.96993,0.81147,0.75446,0.35706,1.11438,0.0066538,0.0066538,0.0066538
171,21979.7,0.6142,0.35176,0.97462,0.96475,0.92981,0.9707,0.8104,0.75415,0.35655,1.11508,0.006634,0.006634,0.006634
172,22091.8,0.61395,0.35805,0.97838,0.96516,0.92812,0.97102,0.80997,0.75477,0.35346,1.11611,0.0066142,0.0066142,0.0066142
173,22207,0.60671,0.34172,0.96886,0.93558,0.95231,0.96841,0.81102,0.75602,0.35371,1.11768,0.0065944,0.0065944,0.0065944
174,22318.3,0.61806,0.35309,0.97926,0.94781,0.94054,0.96835,0.81016,0.75837,0.35266,1.12157,0.0065746,0.0065746,0.0065746
175,22432,0.61563,0.34972,0.97723,0.94955,0.94199,0.97012,0.8086,0.75927,0.35075,1.12365,0.0065548,0.0065548,0.0065548
176,22545,0.61604,0.35015,0.96737,0.95035,0.94255,0.97045,0.80704,0.75901,0.35024,1.12269,0.006535,0.006535,0.006535
177,22657.6,0.62104,0.35068,0.97408,0.95042,0.94312,0.97068,0.80796,0.76121,0.34942,1.12539,0.0065152,0.0065152,0.0065152
178,22769.8,0.6124,0.3511,0.97485,0.94978,0.94222,0.97049,0.80828,0.75773,0.35071,1.12261,0.0064954,0.0064954,0.0064954
179,22880.5,0.6129,0.34939,0.97563,0.95061,0.94185,0.97,0.80908,0.75671,0.34994,1.12293,0.0064756,0.0064756,0.0064756
